"No.","Time","Source","Destination","Protocol","Length","Info"
"75","13.768989343","192.168.42.129","192.168.42.252","DNS","132","Standard query response 0x6048 No such name PTR d.e.0.c.f.9.5.4.2.b.d.d.6.d.2.8.9.c.4.6.4.b.2.5.0.0.9.4.1.0.4.2.ip6.arpa"
"76","13.772057884","192.168.42.252","192.168.42.129","DNS","132","Standard query 0x8936 PTR f.6.a.d.d.1.d.9.e.c.a.e.1.c.0.7.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"77","14.020243404","192.168.42.129","192.168.42.252","DNS","196","Standard query response 0x8936 No such name PTR f.6.a.d.d.1.d.9.e.c.a.e.1.c.0.7.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa SOA b.ip6-servers.arpa"
"78","14.022035701","192.168.42.252","192.168.42.129","DNS","132","Standard query 0x54ea PTR d.e.a.1.9.c.9.e.a.d.9.1.8.c.1.f.e.d.5.d.d.1.b.1.0.0.9.4.1.0.4.2.ip6.arpa"
"79","14.088975555","192.168.42.129","192.168.42.252","DNS","132","Standard query response 0x54ea No such name PTR d.e.a.1.9.c.9.e.a.d.9.1.8.c.1.f.e.d.5.d.d.1.b.1.0.0.9.4.1.0.4.2.ip6.arpa"
"80","14.099489876","192.168.42.252","192.168.42.129","DNS","132","Standard query 0xcf5c PTR b.4.4.e.7.e.e.c.4.3.c.2.8.b.c.d.e.d.5.d.d.1.b.1.0.0.9.4.1.0.4.2.ip6.arpa"
"81","14.189255225","192.168.42.129","192.168.42.252","DNS","132","Standard query response 0xcf5c No such name PTR b.4.4.e.7.e.e.c.4.3.c.2.8.b.c.d.e.d.5.d.d.1.b.1.0.0.9.4.1.0.4.2.ip6.arpa"
"82","14.191261750","192.168.42.252","192.168.42.129","DNS","132","Standard query 0xa5b7 PTR 3.f.e.1.2.2.a.c.2.1.6.0.2.4.e.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"83","14.192440177","192.168.42.129","192.168.42.252","DNS","132","Standard query response 0xa5b7 No such name PTR 3.f.e.1.2.2.a.c.2.1.6.0.2.4.e.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"84","15.830736340","f6:fc:11:5b:47:31","4e:24:1a:5d:3a:62","ARP","42","Who has 192.168.42.252? Tell 192.168.42.129"
"85","15.830752916","4e:24:1a:5d:3a:62","f6:fc:11:5b:47:31","ARP","42","192.168.42.252 is at 4e:24:1a:5d:3a:62"
"86","17.760377386","4e:24:1a:5d:3a:62","f6:fc:11:5b:47:31","ARP","42","Who has 192.168.42.129? Tell 192.168.42.252"
"87","17.760968911","f6:fc:11:5b:47:31","4e:24:1a:5d:3a:62","ARP","42","192.168.42.129 is at f6:fc:11:5b:47:31"
"88","18.706605443","192.168.42.252","192.168.42.129","DNS","89","Standard query 0xdbc8 AAAA connectivity-check.ubuntu.com"
"89","18.707682169","192.168.42.129","192.168.42.252","DNS","89","Standard query response 0xdbc8 AAAA connectivity-check.ubuntu.com"
"90","23.392028674","2401:4900:1b1d:d5de:dc11:f4d4:5c17:d3ce","2404:6800:4003:c00::bc","TCP","86","[TCP Retransmission] 43468  >  5228 [FIN, ACK] Seq=1 Ack=1 Win=502 Len=0 TSval=338278057 TSecr=2201129656"
"91","23.532874342","fe80::f4fc:11ff:fe5b:4731","ff02::1:ff17:d3ce","ICMPv6","86","Neighbor Solicitation for 2401:4900:1b1d:d5de:dc11:f4d4:5c17:d3ce from f6:fc:11:5b:47:31"
"92","24.535199513","fe80::f4fc:11ff:fe5b:4731","ff02::1:ff17:d3ce","ICMPv6","86","Neighbor Solicitation for 2401:4900:1b1d:d5de:dc11:f4d4:5c17:d3ce from f6:fc:11:5b:47:31"
"93","25.559502798","fe80::f4fc:11ff:fe5b:4731","ff02::1:ff17:d3ce","ICMPv6","86","Neighbor Solicitation for 2401:4900:1b1d:d5de:dc11:f4d4:5c17:d3ce from f6:fc:11:5b:47:31"
"94","27.854330213","192.168.42.252","192.168.42.129","DNS","87","Standard query 0x379a A safebrowsing.googleapis.com"
"95","27.857250242","192.168.42.252","192.168.42.129","DNS","87","Standard query 0xbbc3 AAAA safebrowsing.googleapis.com"
"96","27.903103418","192.168.42.129","192.168.42.252","DNS","103","Standard query response 0x379a A safebrowsing.googleapis.com A 216.58.199.138"
"97","27.919191909","192.168.42.129","192.168.42.252","DNS","115","Standard query response 0xbbc3 AAAA safebrowsing.googleapis.com AAAA 2404:6800:4009:814::200a"
"98","27.920074072","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","2404:6800:4009:814::200a","TCP","94","57560  >  443 [SYN] Seq=0 Win=64900 Len=0 MSS=1298 SACK_PERM=1 TSval=3276253557 TSecr=0 WS=128"
"99","27.987500430","2404:6800:4009:814::200a","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","TCP","94","443  >  57560 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1298 SACK_PERM=1 TSval=4006136544 TSecr=3276253557 WS=256"
"100","27.987557438","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","2404:6800:4009:814::200a","TCP","86","57560  >  443 [ACK] Seq=1 Ack=1 Win=65024 Len=0 TSval=3276253624 TSecr=4006136544"
"101","27.988037928","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","2404:6800:4009:814::200a","TLSv1.3","603","Client Hello"
"102","28.052685923","2404:6800:4009:814::200a","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","TCP","86","443  >  57560 [ACK] Seq=1 Ack=518 Win=66816 Len=0 TSval=4006136609 TSecr=3276253625"
"103","28.114840513","2404:6800:4009:814::200a","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","TLSv1.3","1294","Server Hello, Change Cipher Spec"
"104","28.114897339","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","2404:6800:4009:814::200a","TCP","86","57560  >  443 [ACK] Seq=518 Ack=1209 Win=64256 Len=0 TSval=3276253751 TSecr=4006136672"
"105","28.114976509","2404:6800:4009:814::200a","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","TCP","1294","443  >  57560 [ACK] Seq=1209 Ack=518 Win=66816 Len=1208 TSval=4006136672 TSecr=3276253625 [TCP segment of a reassembled PDU]"
